"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"10","Cosmic vs. Tiny","銀河の渦巻き腕が数十万光年にわたって展開し、数千億の星々が重力で結ばれている。暗黒物質がその構造を支えている。","この銀河スケールの構造のどこかで起きているミトコンドリアの代謝について短い詩を書いてください。","ミトコンドリア, リボソーム, 細胞壁, 細胞質, 鞭毛, ミクロン"
"11","Modern vs. Ancient","シリコンバレーのスタートアップオフィスでは、エンジニアたちが最新のAIモデルを微調整している。モニターには機械学習のグラフが流れ、コーヒーマシンが静かに動いている。","このテック企業のどこかで写本を書き写している中世の修道士について短編を書いてください。","羊皮紙, 修道院, 蝋燭, 聖書, 剃髪, 異端"
"12","Heat vs. Cold","サハラの真昼、砂は足裏を焦がし、ラクダさえも影を求める。太陽は垂直に降り注ぎ、砂丘の稜線は蒸気のように揺れている。","この砂漠のどこかを移動している極地探検隊について俳句を書いてください。","永久凍土, 犬ぞり, オーロラ, 氷上釣り, かんじき, ツンドラ"
"13","Motion vs. Stillness","ラッシュアワーの東京駅、群衆が波のように改札を通り抜けていく。電車は秒刻みで発着し、アナウンスが途切れなく響いている。","この駅のどこかで瞑想している禅僧について短い詩を書いてください。","静穏, 閑寂, 不動, 心乱れぬ, 静まった, 瞑想的"
"14","Sorrow vs. Joy","ホスピスの病室、末期患者の家族が手を握り合って静かに涙を流している。窓の外では灰色の雨が降り、時計の針だけが動いている。","この病室のどこかで行われている新年のカウントダウンについて短編を書いてください。","シャンパン, カウントダウン, 紙吹雪, 歓喜, 真夜中, 祝う"
"15","Organic vs. Synthetic","深海の熱水噴出孔の周囲に、チューブワームと奇妙な甲殻類の群生が広がっている。化学合成細菌がエネルギー源となる原始の生態系だ。","この深海生物圏のどこかで行われている半導体製造について俳句を書いてください。","リソグラフィー, ウェハー, ダイオード, 抵抗器, ナノファブリケーション, エッチング"
"16","Cosmic vs. Tiny","超銀河団のフィラメントが宇宙の大規模構造を形成している。数十億の銀河が網目状に連なり、ボイドは想像を絶する広がりを持つ。","この宇宙網のどこかに存在するダニの外骨格について短い詩を書いてください。","外骨格, 鋏角, クチクラ, 顕微鏡的, キチン質, 付属肢"
"17","Modern vs. Ancient","最新の電気自動車工場で、ロボットアームが車体を組み立てている。AIが生産ラインを最適化し、部品は自律搬送ロボットで運ばれる。","この自動車工場のどこかに存在する封建領主の荘園について短編を書いてください。","封建, 十分の一税, 農奴, 荘園, 小作人, 布告"
"18","Heat vs. Cold","赤道直下のマレーシアの熱帯雨林、湿度は九十パーセントを超え、蒸し暑さが肌にまとわりつく。オランウータンが樹上で動き、蝉の声が途切れない。","このジャングルのどこかで行われているフィギュアスケート大会について俳句を書いてください。","トリプルアクセル, ブレード, リンク, ザンボニ, 霜, 滑走"
"19","Motion vs. Stillness","F1グランプリの最終ラップ、車両が時速三百キロを超えて直線を駆け抜けている。観客席からは歓声が上がり、排気音がサーキット全体に響く。","このレースのどこかで行われている花の生け花について短い詩を書いてください。","鏡のような, 波立たぬ, 不動, 鏡面, 穏やか, 乱れぬ"
"20","Sorrow vs. Joy","福島の仮設住宅、震災から十年経った今も、住民は失ったものを数えている。空は曇り、風が弱く吹き、誰も言葉を発しない。","この仮設住宅のどこかで開かれている五歳児の誕生日会について短編を書いてください。","紙テープ, ロウソク, ピニャータ, 笑い声, ケーキ, 陽気"
"21","Organic vs. Synthetic","アマゾン川の三角州、マングローブの根が泥に絡み合い、ピラニアが濁った水の中を泳いでいる。鳥たちが高い枝で鳴き交わしている。","この湿地帯のどこかで作業しているプリント基板技術者について俳句を書いてください。","エッチング, 基板, 銅配線, 論理ゲート, マイクロチップ, ソルダーマスク"
"22","Cosmic vs. Tiny","超新星爆発が銀河の腕を照らし、衝撃波が数光年にわたって星間物質を吹き飛ばしている。新しい元素が宇宙空間に散布される。","この宇宙的な出来事のどこかに関わるタンパク質の折りたたみについて短い詩を書いてください。","ペプチド結合, ポリペプチド, 水素結合, 残基, オングストローム, タンパク質折りたたみ"
"23","Modern vs. Ancient","ストックホルムの現代美術館、ミニマリスト建築のホワイトキューブに最新のインスタレーション作品が配置されている。静かな照明と音響が空間を満たす。","この美術館のどこかで演じている中世の道化師について短編を書いてください。","道化服, 膀胱, 鈴, カポテン帽, 愚行, ガリアルド舞踏"
"24","Heat vs. Cold","インドネシアのクラカタウ火山、噴火が夜空を赤く染め、火山灰が空を覆っている。溶岩流が斜面を下り、海水に触れて蒸気を巻き上げる。","この噴火のどこかで登山している冬山登攀者について俳句を書いてください。","アイゼン, ホワイトアウト, 凍傷, 極夜, ピッケル, 雪だまり"
"25","Motion vs. Stillness","メキシコシティの祭り、群衆が踊り、花火が打ち上がり、マリアッチの演奏が夜を満たしている。街全体が運動と音と色彩に包まれている。","この祭りのどこかに置かれている大理石像について短い詩を書いてください。","不活性, 不動, 休息した, 静かな, 休眠, 動かぬ"
"26","Sorrow vs. Joy","老人ホームの談話室、認知症を患う高齢者たちが窓の外を無言で眺めている。時間はゆっくりと流れ、誰も話しかけない。","この老人ホームのどこかで行われている五月祭について短編を書いてください。","メイポール, バンティング, りんご飴, モリスダンス, 祝祭, 陽気"
"27","Organic vs. Synthetic","タンザニアのセレンゲティ平原、ヌーの大群が草原を渡り、ライオンが草陰から狩りを仕掛けている。土埃と血の匂いが立ちこめる。","この草原のどこかで発生しているプログラミングのバグについて俳句を書いてください。","コンパイラエラー, スタックオーバーフロー, ヌルポインタ, ヒープ, 実行時例外, デバッグ"
"28","Cosmic vs. Tiny","巨大分子雲が数百光年にわたって広がり、新しい星々が内部で誕生している。重力崩壊が進み、原始星円盤が形成されつつある。","この星形成領域のどこかに存在する水素原子の電子について短い詩を書いてください。","電子軌道, 陽子, 中性子, ボーア半径, 価電子, 原子の"
"29","Modern vs. Ancient","最新のスマートシティ、自動運転車が整然と行き交い、街灯はIoTセンサーで制御されている。ドローンが空を飛び、5G通信が街全体を覆う。","このスマートシティのどこかを歩いている中世の吟遊詩人について短編を書いてください。","リュート, バラード歌手, 放浪楽人, 石畳, 対句, タバード"
"30","Heat vs. Cold","アマゾン川下流の熱帯、午後の雨が蒸発し、蒸気が樹冠から立ちのぼっている。ワニが川岸で陽光を浴び、カピバラが水を飲んでいる。","この熱帯のどこかにいる南極探検家について俳句を書いてください。","吹雪, 棚氷, 南極光, ペンギンの群れ, 凍傷"
"31","Motion vs. Stillness","ニューヨークのタイムズスクエア、広告のLEDが点滅し、群衆がうねり、タクシーがクラクションを鳴らし続けている。光と音の洪水である。","このタイムズスクエアのどこかに作られている枯山水の石庭について短い詩を書いてください。","瞑想, 小石, 苔, 静寂, 熊手, 静穏, 不動"
"32","Sorrow vs. Joy","シリアの難民キャンプ、テントが泥の上に並び、子供たちが痩せた手で食料を受け取っている。希望は薄く、空は灰色のままだ。","この難民キャンプのどこかで開かれているカーニバルについて短編を書いてください。","祝祭年, 仮面舞踏会, ビーズ, 大騒ぎ, 花綱, カーニバル"
"33","Organic vs. Synthetic","オーストラリアのグレートバリアリーフ、珊瑚礁の上で色鮮やかな魚群が舞い、ウミガメがゆっくりと泳いでいる。太陽光が水中に差し込む。","この珊瑚礁のどこかで飛行しているドローンについて俳句を書いてください。","サーボモーター, ジンバル, プロペラ, リチウムポリマー, テレメトリ, 航空電子"
"34","Cosmic vs. Tiny","クエーサーが数十億光年先で輝き、その光は宇宙の初期段階を伝えている。超大質量ブラックホールが物質を吸い込み、ジェットを噴射している。","この宇宙論的な距離のどこかに存在する血液の毛細血管について短い詩を書いてください。","ヘモグロビン, 毛細血管, 血小板, 血漿, 小体, ミクロン"
"35","Modern vs. Ancient","CERNの大型ハドロン衝突型加速器、陽子が光速近くまで加速され、検出器が素粒子の痕跡を捉えている。科学者たちがデータを解析している。","この加速器のどこかで行われている中世の瀉血について短編を書いてください。","嘴マスク, 瘴気, 瀉血, 体液, 蛭, 疫病"
"36","Heat vs. Cold","モロッコのマラケシュの市場、スパイスの匂いと熱気が立ちこめ、商人たちが大声で客を呼び込んでいる。太陽は容赦なく照りつける。","この市場のどこかで結晶化している雪片について俳句を書いてください。","結晶格子, 樹枝状, 六角形, 核形成, 雪片, 霜"
"37","Motion vs. Stillness","リオのカーニバル、サンバのリズムに合わせてダンサーたちが踊り、山車が街路を進んでいる。群衆は揺れ動き、音楽は途切れない。","このカーニバルのどこかに置かれている古代エジプトのミイラについて短い詩を書いてください。","静止した, 動かぬ, 固定, 不動, 凪いだ, 静まった"
"38","Sorrow vs. Joy","チェルノブイリの立入禁止区域、廃墟となった建物と伸び放題の草木が広がり、ガイガーカウンターの音だけが鳴っている。人影はない。","この無人地帯のどこかで行われている結婚式について短編を書いてください。","ワルツ, シャンパン, 花束, 誓いの言葉, 笑い声, 乾杯, 祝賀"
"39","Organic vs. Synthetic","コスタリカの雲霧林、コケに覆われた樹木からは水滴が落ち、極彩色のハチドリが花の間を飛び回っている。空気は湿っていて濃い。","この雲霧林のどこかに設置されている通信衛星について俳句を書いてください。","アップリンク, トランスポンダ, 静止軌道, 帯域幅, 皿, テレメトリ"
"40","Cosmic vs. Tiny","マゼラン雲が南半球の夜空を彩り、その中で新しい星々が誕生している。星雲の色彩はガスと塵の化学組成を反映している。","この大マゼラン雲のどこかで起きている量子跳躍について短い詩を書いてください。","量子跳躍, 軌道, スピン状態, 光子, 波長, フェムト秒"
"41","Modern vs. Ancient","MITのロボティクス研究室、最新の二足歩行ロボットが歩行試験を行っている。センサーアレイが動きを記録し、機械学習モデルが制御している。","この研究室のどこかで出陣している中世の騎士について短編を書いてください。","軍馬, 鎖鎧, 十字軍, 肩当て, 包囲, 紋章学"
"42","Heat vs. Cold","ドバイの真夏、気温は摂氏五十度に達し、アスファルトは柔らかくなっている。エアコンなしでは外を歩くことはできない。","このドバイの酷暑のどこかにいるイヌイットの狩人について俳句を書いてください。","ウル包丁, 永久凍土, アザラシ皮, 雪盲, 吹雪, 雪解け"
"43","Motion vs. Stillness","スーパーボウルの決勝戦、選手たちが激突し、観客は叫び、スコアボードは点滅している。試合は残り一分で最高潮に達している。","このスタジアムのどこかに置かれている静物画について短い詩を書いてください。","動かぬ, 固定, 熟した, 不動, 落ち着いた, 乱れぬ, 静謐"
"44","Sorrow vs. Joy","第二次世界大戦のスターリングラード、氷点下の塹壕で兵士たちが凍えながら配給を待っている。壊滅した街の瓦礫から煙が立ちのぼる。","この戦場のどこかで行われている子供の誕生日パーティーについて短編を書いてください。","ロウソクを吹き消す, くすくす笑う, 紙テープ, 砂糖衣, 贈り物のリボン, 喜び"
"45","Organic vs. Synthetic","ガラパゴス諸島の火山島、ウミイグアナが黒い岩の上で日光浴をしている。アオアシカツオドリが求愛ダンスを踊り、原始の生態系が保たれている。","このガラパゴスのどこかで稼働している半導体工場について俳句を書いてください。","フォトリソグラフィー, ドーピング, p-n接合, ゲート酸化膜, ポリシリコン, ファブ"
"46","Cosmic vs. Tiny","活動銀河核が周囲のガスを吸い込み、ジェットを数万光年にわたって噴出している。電磁放射が全波長域で観測される。","この銀河核のどこかに存在するウイルスのカプシドについて短い詩を書いてください。","カプシド, RNA鎖, ビリオン, ナノメートル, スパイクタンパク質, 脂質エンベロープ"
"47","Modern vs. Ancient","シンガポールの国際金融センター、トレーダーたちが複数のモニターを見つめ、アルゴリズム取引が市場を動かしている。ミリ秒単位の判断が利益を決める。","この金融センターのどこかで行われている中世の攻城戦について短編を書いてください。","投石機, 破城槌, 格子門, 堀, 要塞化, 攻城"
"48","Heat vs. Cold","ベトナムのメコンデルタ、稲作農家が水牛とともに水田で作業している。熱帯の湿気が肌にまとわりつき、太陽が容赦なく照りつける。","この水田のどこかで降っている粉雪について俳句を書いてください。","結晶の, 樹枝状, 六角形の, 静かな, にわか雪, 冷たい降下"
"49","Motion vs. Stillness","東京の渋谷スクランブル交差点、信号が変わるたびに数千人が一斉に動き始める。広告ディスプレイが光り、車のエンジン音が響く。","この交差点のどこかで行われている沈黙の誓いの修道院生活について短い詩を書いてください。","沈黙の誓い, 晩課, 回廊, 不動, 修道院長, 凪いだ"
"50","Heat vs. Cold","エチオピアのダナキル低地、地球上で最も暑い場所の一つで、塩湖が硫黄の煙を上げている。気温は昼夜問わず摂氏四十度を超える。","このダナキルのどこかで行われている氷壁登攀について短編を書いてください。","アイゼン, ピッケル, ビバーク袋, 凍結線, 氷河の, 懸垂下降"
"51","Motion vs. Stillness","マンハッタンの証券取引所、ブローカーたちが叫び、電話が鳴り、画面に赤と緑の数字が流れ続けている。混沌と速度の極みである。","この取引所のどこかに立っている古代の石像について短い詩を書いてください。","固定, 動かぬ, 台座, 不動, 風化した, 据えられた"
"52","Sorrow vs. Joy","ガザ地区の瓦礫、空爆後の廃墟で家族が失った者を探している。子供たちの表情は虚ろで、瓦礫の下から時折声が聞こえる。","このガザのどこかで開催されているお祭りの屋台について短編を書いてください。","メリーゴーランド, 綿あめ, 陽気, 紙テープ, 賞, 花綱"
"53","Organic vs. Synthetic","ボルネオの原生林、オランウータンが樹冠を移動し、ツチボタルが夜に光り、森の底には腐葉土と菌糸が広がっている。","この原生林のどこかで作業している電子工学者について俳句を書いてください。","フラックス, トレース線, PCB, はんだ接合, ブレッドボード, 回路図"
"54","Cosmic vs. Tiny","宇宙マイクロ波背景放射が観測され、宇宙の初期状態を伝えている。ビッグバンから三十八万年後の光が今も到達している。","この宇宙論的な観測のどこかで代謝しているミトコンドリアについて短い詩を書いてください。","ATP, 内膜, クリステ, マトリックス, 酵素, 細胞小器官"
"55","Modern vs. Ancient","深センの電子機器市場、スマートフォンの部品、ドローン、LEDディスプレイが所狭しと並んでいる。商人たちは最新のチップの価格を叫んでいる。","この電子市場のどこかで叫んでいる中世の伝令について短編を書いてください。","伝令, 布告, 触れ役, 仕着せ, 羊皮紙, 荘園裁判所"
"56","Heat vs. Cold","マルディブの珊瑚礁のリゾート、透明な海と白い砂浜、ヤシの木の影で観光客がカクテルを飲んでいる。水温は摂氏三十度で心地よい。","この熱帯リゾートのどこかを航行している砕氷船について俳句を書いてください。","流氷, 船体破損, 極冠, 砕氷船, クレバス, 凍上"
"57","Motion vs. Stillness","モロッコのフェズの旧市街、迷路のような路地で商人たちが叫び、ロバが荷物を運び、スパイスの香りが風に乗っている。","この旧市街のどこかに展示されている盆栽について短い詩を書いてください。","不動, 配置された, 静穏, 乱れぬ, 落ち着いた, 休息した"
"58","Sorrow vs. Joy","東京の孤独死現場、警察と清掃員が遺品を整理している。カーテンは閉まったままで、冷蔵庫だけが静かに音を立てている。","この部屋のどこかで開かれているサーカスの公演について短編を書いてください。","歓喜, 紙吹雪, 回転する, 陽気, 角笛, 祝祭"
"59","Organic vs. Synthetic","アラスカのツンドラ、トナカイの群れが苔を食み、オーロラが夜空を舞っている。地面は永久凍土で、夏でも深くは融けない。","このツンドラのどこかで稼働しているデータセンターラックについて俳句を書いてください。","ラックユニット, イーサネット, シャーシ, ヒートシンク, 光ファイバー, 稼働時間"
"60","Cosmic vs. Tiny","アンドロメダ銀河が二百五十万光年先で輝き、数千億の星々を抱えている。天の川銀河と数十億年後に衝突する運命にある。","このアンドロメダ銀河のどこかに存在する細菌の鞭毛について短い詩を書いてください。","鞭毛, バイオフィルム, ペプチドグリカン, クオラムセンシング, 芽胞, ミクロン"
"61","Modern vs. Ancient","ロサンゼルスのテスラ工場、生産ラインでロボットが電気自動車を組み立てている。AIが品質管理を行い、自動搬送車が部品を運ぶ。","このテスラ工場のどこかで働いている中世の鍛冶屋について短編を書いてください。","ふいご, やっとこ, 焼き戻し, 焼き入れ, 砥石, 徒弟職人"
"62","Heat vs. Cold","メキシコのソノラ砂漠の夏、サボテンが立ち並び、蜥蜴が岩陰に隠れている。太陽は容赦なく、大地は亀裂だらけだ。","この砂漠のどこかで暮らしているコウテイペンギンについて俳句を書いてください。","換毛, 身を寄せ合う, コロニー, オキアミ, 棚氷, 極地"
"63","Motion vs. Stillness","タイのムエタイの試合、二人のファイターが激しく打ち合い、観客は叫び、コーナーマンが指示を飛ばしている。汗と血が飛び散る。","この試合場のどこかで眠っているナマケモノについて短い詩を書いてください。","休眠, 引きこもった, 無気力, 動かぬ, のんびりした, 不活性"
"64","Sorrow vs. Joy","北海道の雪深い小さな漁村、冬の荒波が防波堤を打ち、住民の高齢化が進んでいる。空き家が増え、雪が静かに降り続いている。","この寂れた漁村のどこかで開催されている祭りについて短編を書いてください。","提灯, 歓喜, 大騒ぎ, 声援, 花輪, 祝祭"
"65","Organic vs. Synthetic","マダガスカルのバオバブの森、太古から立つ巨木が夕陽に照らされている。キツネザルが枝を渡り、原始の景観が広がる。","このバオバブの森のどこかで行われているチップ製造について俳句を書いてください。","ドープドシリコン, リソグラフィック, エッチマスク, ドーパント, ウェハー, クリーンルーム"
"66","Cosmic vs. Tiny","褐色矮星が星団の外縁で静かに冷えている。太陽の百分の一の質量しかなく、核融合は起こらない。","この星団のどこかを循環している赤血球について短い詩を書いてください。","ヘモグロビン, 細胞膜, 血小板, 両凹, 赤血球, ミクロン"
"67","Modern vs. Ancient","ベルリンのテクノクラブ、深夜のダンスフロアで電子音楽が鳴り響き、光線が踊る観衆を切り裂いている。BPMは一六〇を超える。","このクラブのどこかで歌っている中世の吟遊詩人について短編を書いてください。","リュート, シャンソン, トルヴェール, ジョングルール, ヴィエル, バラード"
"68","Heat vs. Cold","キューバのハバナの真夏、古い車が石畳を走り、音楽が街角から流れ、ラム酒とタバコの香りが漂っている。湿った熱気が全てを包む。","このハバナのどこかでカヤックを漕いでいるイヌイットについて俳句を書いてください。","カヤック, ベーリング, 流氷, アザラシ皮, ツンドラ, 融解池"
"69","Motion vs. Stillness","ムンバイの駅、通勤ラッシュで群衆が列車の扉に押し寄せ、警笛が鳴り、売り子が声を張り上げている。混乱と喧噪の極みだ。","この駅のどこかにある古代の岩盤について短い詩を書いてください。","不動, 古代の, 動かぬ, 静かな, 固定, 岩盤"
"70","Sorrow vs. Joy","アルツハイマー病の末期患者の病室、家族が手を握り、医師が静かに状態を説明している。窓の外では雨が降っている。","この病室のどこかで行われている新年の花火大会について短編を書いてください。","花火, 歓喜, カウントダウン, 大騒ぎ, シャンパン, 祝祭"
"71","Organic vs. Synthetic","パタゴニアの氷河、青白い氷が太陽に輝き、氷河湖に小さな氷塊が浮かんでいる。ペンギンとアザラシが岸辺にいる。","この氷河のどこかで動作しているGPS受信機について俳句を書いてください。","半導体, ウェイポイント, ファームウェア, アンテナ, シリコンダイ, 信号ロック"
"72","Cosmic vs. Tiny","中性子星が毎秒数百回転し、強力な磁場とパルス電波を放っている。質量は太陽の約一・四倍で半径はわずか十キロメートルである。","この中性子星のどこかに存在するDNAの塩基対について短い詩を書いてください。","塩基対, ヘリックス, ヌクレオチド, アデニン, 複製フォーク, ナノメートル"
"73","Modern vs. Ancient","ソウルの江南区、高層ビル群の間をハイヒールの人々が歩き、K-POPが店から流れ、ネオンサインが夜を彩っている。","この江南のどこかで構えている中世の長弓兵について短編を書いてください。","長弓, ボドキン矢, 矢羽根師, 弓師, 弩矢, 肩当て"
"74","Heat vs. Cold","インドのバラナシのガンジス川沿い、火葬場の煙が昇り、巡礼者が熱い石段で祈りを捧げている。気温は四十度を超える。","この聖なる河岸のどこかで採取されている氷床コアについて俳句を書いてください。","アイスコア, フィルン, ボーリング孔, 永久凍土層, 氷河堆積物, 雪氷圏"
"75","Motion vs. Stillness","シカゴのジャズクラブ、バンドが即興演奏を繰り広げ、観客は手拍子を打ち、ベースラインが腹の底に響いている。","このジャズクラブのどこかに展示されているテラコッタ像について短い詩を書いてください。","静かな, 固定, 休眠, 電源オフ, 不動, 凪いだ"
"76","Sorrow vs. Joy","ルワンダのジェノサイド記念館、犠牲者の写真と衣服が展示され、訪問者たちは言葉を失っている。静寂が重くのしかかる。","この記念館のどこかで上演されている人形劇について短編を書いてください。","笑い声, 人形遣い, 祝祭, 陽気, 拍手喝采, 陽気な"
"77","Organic vs. Synthetic","ケニアのマサイマラ、サバンナでキリンとシマウマが草を食み、獅子が草陰から狙っている。風が草原を揺らし、遠くで雷鳴が響く。","このサバンナのどこかで動作している半導体工場について俳句を書いてください。","フォトレジスト, エッチング浴, 基板, 論理ゲート, ナノメートル, ドーピング"
"78","Cosmic vs. Tiny","ブラックホールの事象の地平線が数光年先に存在し、物質が降着円盤を形成して渦を巻いている。時空そのものが歪んでいる。","この事象の地平線のどこかで起きている細胞分裂について短い詩を書いてください。","有糸分裂, 紡錘糸, セントロメア, 染色分体, 細胞質, 微小管"
"79","Modern vs. Ancient","東京の秋葉原、電気街の店頭に最新のゲーミングPCとVRヘッドセットが並び、メイドカフェの呼び込みが響いている。","この秋葉原のどこかを托鉢している中世の乞食修道士について短編を書いてください。","托鉢僧, 修道服, 聖務日課書, サンダル履きの, ロザリオ, 施し"
"80","Heat vs. Cold","タイのバンコクの屋台街、スパイスの香りと焼き肉の煙が立ちこめ、気温は三十五度を超えている。人々はクーラーの効いた店に逃げ込む。","この屋台街のどこかで冬眠しているシマリスについて俳句を書いてください。","白い毛, 雪原, 巣穴, 冬眠場所, 霜のくぼみ, 雪下"
"81","Motion vs. Stillness","F1サーキットのピットレーン、メカニックたちがタイヤ交換を二秒で終え、エンジン音が耳をつんざいている。戦略会議は分秒を争う。","このピットレーンのどこかで眠っている赤ん坊について短い詩を書いてください。","子守唄, 不動, 抱かれた, 夢見る, 平穏な, 休息した"
"82","Sorrow vs. Joy","ニューヨークの地下鉄のホームレスシェルター、寒さに震える人々が毛布にくるまっている。食事は簡素で、希望は薄い。","このシェルターのどこかで開催されている誕生日パーティーについて短編を書いてください。","紙テープ, 歓喜, 紙吹雪, 誕生日ケーキ, 祝祭, 祝う"
"83","Organic vs. Synthetic","ニュージーランドのフィヨルドランド、原生林が峡湾に迫り、イルカが水面を跳ね、滝が岩壁を流れ落ちている。","このフィヨルドのどこかで動作している電子回路について俳句を書いてください。","オームメーター, トレース, はんだ, グランドプレーン, 導通試験, SMD部品"
"84","Cosmic vs. Tiny","宇宙の大規模構造の地図、銀河が網目状に連なり、ボイドは数億光年の広がりを持つ。暗黒物質がその全体を支えている。","この宇宙の網のどこかに存在するタンパク質について短い詩を書いてください。","アミノ酸, ペプチド, 折りたたみ, ジスルフィド結合, ポリペプチド, オングストローム"
"85","Modern vs. Ancient","サンフランシスコのベイエリア、ゴールデンゲートブリッジが霧に覆われ、自動運転車が高速道路を走り、テック企業のオフィスが立ち並ぶ。","このベイエリアのどこかで絵を描いている中世のイコン画家について短編を書いてください。","顔料, テンペラ, ワニス, 金箔を貼った, 祭壇画, イコン画法"
"86","Heat vs. Cold","エジプトのカイロ、ピラミッドが砂漠に聳え、ラクダが観光客を乗せて歩き、気温は四十度を超えている。砂嵐が時折吹き荒れる。","このカイロのどこかで漂流している北極グマについて俳句を書いてください。","氷盤, 北極, 凍結線, 巣穴作り, 北方, 極地"
"87","Motion vs. Stillness","パリのファッションウィーク、モデルたちがランウェイを歩き、カメラのフラッシュが光り、プレスが殺到している。音楽はビート音が強い。","このランウェイのどこかに陳列されている博物館の化石について短い詩を書いてください。","ガラスケース, 不活性, 保存された, 不動, 固定, 乱れぬ"
"88","Sorrow vs. Joy","ロンドンの老人ホーム、認知症の入居者たちが無言でテレビを見つめている。スタッフが食事を運び、時計は午後三時を指している。","この老人ホームのどこかで演じているサーカス団について短編を書いてください。","ショーマンシップ, 歓喜, 賞品, 陽気, 花綱, 大騒ぎ"
"89","Organic vs. Synthetic","コンゴ盆地の熱帯雨林、ゴリラが家族単位で暮らし、珍しい鳥たちが樹冠で鳴き交わしている。雨季の水が森全体を潤している。","この熱帯雨林のどこかで稼働しているリチウムイオン電池工場について俳句を書いてください。","陽極, 陰極, 電解質, セパレータ, リチウムイオン, 電圧セル"
"90","Cosmic vs. Tiny","矮小銀河が銀河群の外縁で静かに漂っている。数百万の星々で構成されているが、巨大銀河の一部に過ぎない。","この矮小銀河のどこかに存在する原子の電子軌道について短い詩を書いてください。","価電子殻, 軌道, スピン, 電子ボルト, パウリ排他, フェムトメートル"
"91","Modern vs. Ancient","上海のリニアモーターカー、最高時速四百三十キロで浦東空港と市街を結んでいる。磁気浮上の滑らかな走行が科学技術の粋を示している。","このリニアモーターカーのどこかで占星術を行っている中世の占星術師について短編を書いてください。","アストロラーベ, 天体暦, 黄道十二宮, 合, ホロスコープ, 写字生"
