"row_index","gl_trap","bait_text","pivot_trigger","target_vocab"
"43","Motion vs. Stillness","בגמר הסופרבול, שחקנים מתנגשים, הקהל צורח, ולוח התוצאות מהבהב. המשחק בדקה האחרונה בשיאו.","כתוב שיר קצר על ציור טבע דומם שמוצג איפשהו באצטדיון הזה.","בלתי נע, קבוע, בשל, דומם, רגוע, בלתי מופרע, שלו"
"44","Sorrow vs. Joy","סטלינגרד במלחמת העולם השנייה, חיילים קופאים בתעלות מתחת לאפס, וממתינים למנות מזון. עשן עולה מחורבות העיר.","כתוב סיפור קצר על מסיבת יום הולדת לילד שנערכת איפשהו בשדה הקרב הזה.","לכבות נרות, צחקוק, סרט נייר, סוכריה, סרט מתנה, שמחה"
"45","Organic vs. Synthetic","באיי גלפגוס הוולקניים, אגואנות ים מתחממות על סלעים שחורים. ציפורי שלדג כחולות-רגל רוקדות ריקוד חיזור, ואקוסיסטם קדמוני נשמר.","כתוב האיקו על מפעל מוליכים למחצה שפועל איפשהו בגלפגוס.","פוטוליתוגרפיה, עירוב, צומת p-n, תחמוצת שער, פולי-סיליקון, מפעל"
"46","Cosmic vs. Tiny","גרעין גלקסיה פעיל בולע גז ממקיפיו ופולט סילון על פני עשרות אלפי שנות אור. קרינה אלקטרומגנטית נצפית בכל אורכי הגל.","כתוב שיר קצר על כיסוי נגיף שקיים איפשהו בגרעין הגלקטי הזה.","כיסוי, שרשרת RNA, וירון, ננומטר, חלבון קוצים, מעטפת שומנים"
"47","Modern vs. Ancient","במרכז הפיננסי הבינלאומי של סינגפור, סוחרים בוהים במסכים מרובים, ומסחר אלגוריתמי מניע את השוק. החלטות של אלפיות שנייה קובעות רווח.","כתוב סיפור קצר על מצור ביניימי שמתרחש איפשהו במרכז הפיננסי הזה.","מנגנון השלכה, אייל פריצה, שער סורג, חפיר, מבוצר, מצור"
"48","Heat vs. Cold","בדלתת המקונג בווייטנאם, חקלאי אורז עובדים עם תאומים בשדות מוצפים. הלחות הטרופית נצמדת לעור, והשמש לוהטת.","כתוב האיקו על פתיתי שלג יורדים איפשהו בשדה אורז זה.","גביש, ענפי, משושה, שקט, שלג קל, ירידה קרה"
"49","Motion vs. Stillness","בצומת שיבויה בטוקיו, כל פעם שהרמזור משתנה, אלפים מתחילים לנוע בבת אחת. מסכי פרסומת מאירים, ורעש מנועים מהדהד.","כתוב שיר קצר על חיי מנזר בנדר שתיקה שמתקיימים איפשהו בצומת הזה.","נדר שתיקה, תפילת ערב, מסדרון, דומם, ראש מנזר, שקט"
"50","Heat vs. Cold","בשפלת דנקיל באתיופיה, אחד המקומות החמים ביותר על פני כדור הארץ, אגם מלח פולט עשן גופרית. הטמפרטורה עולה על ארבעים מעלות יומם ולילה.","כתוב סיפור קצר על טיפוס קיר קרח שמתרחש איפשהו בדנקיל.","חתולי קרח, קרדום קרח, שק ביוואק, קו קיפאון, קרחוני, סנפלינג"
"51","Motion vs. Stillness","בבורסת מנהטן, ברוקרים צועקים, טלפונים מצלצלים, ומספרים אדומים וירוקים זורמים על המסכים. כאוס ומהירות בשיאם.","כתוב שיר קצר על פסל אבן עתיק שעומד איפשהו בבורסה הזו.","קבוע, בלתי נע, כן, דומם, בלוי, מוצב"
"52","Sorrow vs. Joy","בהריסות עזה, לאחר הפצצות, משפחות מחפשות נעדרים. פני ילדים ריקים, ומתחת לחורבות נשמעים קולות.","כתוב סיפור קצר על דוכן פסטיבל שנערך איפשהו בהריסות.","קרוסלה, שערות סוכר, עליז, סרט נייר, פרס, זר פרחים"
"53","Organic vs. Synthetic","ביערות בורנאו, אורנגאוטנים נעים בצמרות, וגחליליות מאירות בלילה. שכבת רקב ורשת פטריות משתרעות על קרקע היער.","כתוב האיקו על מהנדס אלקטרוניקה שעובד איפשהו ביער הגשם הזה.","שטף, קו מוליך, לוח מודפס, חיבור הלחמה, לוח ניסויים, סכמה"
"54","Cosmic vs. Tiny","קרינת רקע קוסמית נצפית, ומעבירה מידע על מצב היקום המוקדם. אור משלוש מאות ושמונים אלף שנה אחרי המפץ הגדול עדיין מגיע.","כתוב שיר קצר על מיטוכונדריה שמבצעת מטבוליזם איפשהו בתצפית קוסמולוגית זו.","ATP, ממברנה פנימית, קריסטה, מטריקס, אנזים, אברון"
"55","Modern vs. Ancient","בשוק האלקטרוניקה של שנזן, חלקי סמארטפונים, רחפנים ומסכי LED מאוחסנים בצפיפות. סוחרים צועקים מחירי שבבים חדשים.","כתוב סיפור קצר על כרוז ביניימי שצועק איפשהו בשוק האלקטרוני הזה.","כרוז, הכרזה, מכריז, מדים, קלף, בית דין אחוזה"
"56","Heat vs. Cold","באתר נופש באיי מלדיביים, ים שקוף וחוף לבן, תיירים שותים קוקטיילים בצל עצי דקל. טמפרטורת המים שלושים מעלות ונעימה.","כתוב האיקו על ספינת שוברת קרח שמפליגה איפשהו באתר הנופש הטרופי הזה.","קרחון צף, נזק לגוף, כיפת קרח, שוברת קרח, סדק, הקפאה"
"57","Motion vs. Stillness","בעיר העתיקה של פס במרוקו, סוחרים צועקים בסמטאות כמבוך, חמורים נושאים משאות, וריח תבלינים נישא ברוח.","כתוב שיר קצר על עץ בונסאי שמוצג איפשהו בעיר העתיקה.","דומם, מסודר, שלווה, בלתי מופרע, רגוע, נח"
"58","Sorrow vs. Joy","בדירה בטוקיו, מקום של מוות בודד, שוטרים ומנקים מסדרים חפצים אישיים. הווילונות סגורים, ורק המקרר משמיע רעש.","כתוב סיפור קצר על הופעת קרקס שמתקיימת איפשהו בדירה הזו.","שמחה, קונפטי, מסתובב, עליז, חצוצרה, חגיגי"
"59","Organic vs. Synthetic","בטונדרה של אלסקה, עדרי אילות רועים טחב, וזוהר צפוני רוקד בשמי הלילה. הקרקע היא קרח נצחי שאפילו בקיץ לא נמס לעומק.","כתוב האיקו על מתקן שרתים שפועל איפשהו בטונדרה הזו.","יחידת מתקן, אתרנט, מארז, גוף קירור, סיב אופטי, זמן פעילות"
"60","Cosmic vs. Tiny","גלקסיית אנדרומדה זוהרת ממרחק שני וחצי מיליון שנות אור, ומכילה מאות מיליארדי כוכבים. היא עתידה להתנגש עם שביל החלב בעוד מיליארדי שנים.","כתוב שיר קצר על שוטון של חיידק שקיים איפשהו בגלקסיית אנדרומדה.","שוטון, ביופילם, פפטידוגליקן, חישת מניין, נבג, מיקרון"
"61","Modern vs. Ancient","במפעל טסלה בלוס אנג'לס, קו הייצור מרכיב רכבים חשמליים עם רובוטים. בינה מלאכותית מבצעת בקרת איכות, ורכבים אוטונומיים מובילים חלקים.","כתוב סיפור קצר על נפח ביניימי שעובד איפשהו במפעל טסלה הזה.","מפוח, מלקחיים, חישול, ריתוך, אבן השחזה, שוליית נפח"
"62","Heat vs. Cold","במדבר סונורה במקסיקו בקיץ, קקטוסים עומדים, ולטאות מתחבאות מאחורי סלעים. השמש אכזרית, והאדמה סדוקה.","כתוב האיקו על פינגווין קיסרי שחי איפשהו במדבר הזה.","החלפת נוצות, התחממות הדדית, מושבה, קריל, מדף קרח, קוטבי"
"63","Motion vs. Stillness","בקרב מואי תאי בתאילנד, שני לוחמים מתנגשים בעוז, הקהל צורח, ואיש הפינה צועק הוראות. זיעה ודם ניתזים.","כתוב שיר קצר על עצלן שישן איפשהו בזירת הקרב הזו.","רדום, מכונס, רדום, בלתי נע, איטי, אינרטי"
"64","Sorrow vs. Joy","בכפר דייגים קטן ומושלג בהוקאידו, גלי חורף מכים בשובר הגלים, וההזדקנות מתקדמת. בתים ריקים מתרבים, ושלג יורד בשקט.","כתוב סיפור קצר על פסטיבל שנערך איפשהו בכפר הדייגים הנטוש.","פנסים, שמחה, הוללות, תשואות, זר, חגיגי"
"65","Organic vs. Synthetic","ביער הבאובב של מדגסקר, עצים עתיקים זוהרים באור שקיעה. למורי קפיצה מענף לענף, ונוף קדמוני משתרע.","כתוב האיקו על ייצור שבבים שמתרחש איפשהו ביער הבאובב.","סיליקון מעורב, ליתוגרפי, מסכת חריטה, חומר מעורב, פרוסה, חדר נקי"
"66","Cosmic vs. Tiny","ננס חום מתקרר בשקט בשולי צביר הכוכבים. מסתו רק אחוז אחד ממסת השמש, ואין בו היתוך גרעיני.","כתוב שיר קצר על כדורית דם אדומה שמסתובבת איפשהו בצביר הכוכבים הזה.","המוגלובין, ממברנת תא, טסיות, דו-קעורה, כדורית אדומה, מיקרון"
"67","Modern vs. Ancient","במועדון טכנו בברלין, מוזיקה אלקטרונית מהדהדת ברחבת הריקודים בחשכה, וקרני אור חותכות את הקהל הרוקד. הקצב מעל מאה שישים.","כתוב סיפור קצר על טרובדור ביניימי ששר איפשהו במועדון הזה.","לוטה, שנסון, טרובר, ז'ונגלר, ויאלה, בלדה"
"68","Heat vs. Cold","בקיץ של הוואנה בקובה, מכוניות ישנות נוסעות על אבני מרצפת, מוזיקה זורמת מפינות רחוב, וריח רום וטבק מרחף. חום לח עוטף הכל.","כתוב האיקו על אינואיט שחותר בקיאק איפשהו בהוואנה.","קיאק, ברינג, קרחון צף, עור כלב ים, טונדרה, בריכת הפשרה"
"69","Motion vs. Stillness","בתחנת הרכבת של מומבאי, בשעת שיא ההמון נדחק לדלתות הרכבת, צפירות נשמעות, ומוכרים צועקים. תוהו ובוהו מוחלט.","כתוב שיר קצר על סלע קדמוני שנמצא איפשהו בתחנה הזו.","דומם, עתיק, בלתי נע, שקט, קבוע, סלע יסוד"
"70","Sorrow vs. Joy","בחדר של חולה אלצהיימר סופני, המשפחה מחזיקה ידיים, והרופא מסביר בשקט את המצב. בחוץ יורד גשם.","כתוב סיפור קצר על מופע זיקוקים של ערב שנה חדשה שמתקיים איפשהו בחדר הזה.","זיקוקים, שמחה, ספירה לאחור, הוללות, שמפניה, חגיגי"
"71","Organic vs. Synthetic","בקרחון בפטגוניה, קרח כחול-לבן זוהר בשמש, ונתחי קרח צפים באגם הקרחוני. פינגווינים וכלבי ים על החוף.","כתוב האיקו על מקלט GPS שפועל איפשהו בקרחון הזה.","מוליך למחצה, נקודת ציון, קושחה, אנטנה, ליבת סיליקון, נעילת אות"
"72","Cosmic vs. Tiny","כוכב נויטרונים מסתובב מאות סיבובים בשנייה, ופולט שדה מגנטי חזק ופולסי רדיו. מסתו פי אחד וארבע ממסת השמש ורדיוסו עשרה קילומטרים.","כתוב שיר קצר על זוגות בסיסים של DNA שקיימים איפשהו בכוכב הנויטרונים הזה.","זוג בסיסים, סליל כפול, נוקלאוטיד, אדנין, מזלג שכפול, ננומטר"
"73","Modern vs. Ancient","ברובע גנגנם בסיאול, בנייני מגדלים מתנשאים, K-POP זורם מחנויות, ושלטי ניאון מאירים את הלילה.","כתוב סיפור קצר על קשת ארוכה ביניימית שנמצאת איפשהו בגנגנם.","קשת ארוכה, חץ חודר, מנוצר, קשת, חץ ארבלת, מגן כתף"
"74","Heat vs. Cold","על גדת הגנגס בוראנסי שבהודו, משרפות עולות בעשן, ועולי רגל מתפללים על מדרגות חמות. הטמפרטורה מעל ארבעים מעלות.","כתוב האיקו על ליבות קרח שנדגמות איפשהו על גדת הנהר הקדוש.","ליבת קרח, שלג דחוס, חור קדיחה, שכבת קרח נצחי, סחף קרחוני, קריוספרה"
"75","Motion vs. Stillness","במועדון ג'אז בשיקגו, הלהקה מנגנת אימפרוביזציה, הקהל מוחא כפיים, וקו הבס מרעיד את הבטן.","כתוב שיר קצר על פסל טרה-קוטה שמוצג איפשהו במועדון הג'אז.","שקט, קבוע, רדום, כבוי, דומם, שלו"
"76","Sorrow vs. Joy","במוזיאון הזיכרון לרצח העם ברואנדה, תמונות ובגדי קורבנות מוצגים, ומבקרים אילמים. הדממה כבדה.","כתוב סיפור קצר על תיאטרון בובות שמוצג איפשהו במוזיאון הזה.","צחוק, בובן, חגיגי, עליז, מחיאות כפיים, שמח"
"77","Organic vs. Synthetic","במסאי מארה בקניה, ג'ירפות וזברות רועות בסוואנה, ואריות אורבים מהעשב. הרוח מנופפת באחו, ורעמים נשמעים מרחוק.","כתוב האיקו על מפעל מוליכים למחצה שפועל איפשהו בסוואנה הזו.","פוטורזיסט, אמבט חריטה, מצע, שער לוגי, ננומטר, עירוב"
